Saison;Champion
1957-1958;Eimsbütteler TV
1958-1959;Eimsbütteler TV (2)
1959-1960;RSV Mülheim
1960-1961;RSV Mülheim (2)
1961-1962;SSC Südwest 1947
1962-1963;Eimsbütteler TV (3)
1963-1964;1. FC Nürnberg
1964-1965;TSV Bayer 04 Leverkusen
1965-1966;TSV Bayer 04 Leverkusen (2)
1966-1967;Eimsbütteler TV (4)
1967-1968;Union 03 Altona
1968-1969;1. FC Nürnberg (2)
1969-1970;1. FC Nürnberg (3)
1970-1971;Holstein Kiel
1971-1972;Union 03 Altona (2)
1972-1973;TuS Eintracht Minden
1973-1974;TSV Bayer 04 Leverkusen (3)
1974-1975;TuS Eintracht Minden (2)
1975-1976;TuS Eintracht Minden (3)
1976-1977;TSV GutsMuths Berlin
1977-1978;TuS Eintracht Minden (4)
1978-1979;TSV Bayer 04 Leverkusen (4)
1979-1980;TSV Bayer 04 Leverkusen (5)
1980-1981;Grün-Weiß Francfort
1981-1982;TSV Bayer 04 Leverkusen (6)
1982-1983;TSV Bayer 04 Leverkusen (7)
1983-1984;TSV Bayer 04 Leverkusen (8)
1984-1985;TSV Bayer 04 Leverkusen (9)
1985-1986;TSV Bayer 04 Leverkusen (10)
1986-1987;TSV Bayer 04 Leverkusen (11)
1987-1988;TV Lützellinden
1988-1989;TV Lützellinden (2)
